"uniqueGroup","rowType","uniqueIndex","matchIndex","nUniqueGroup","alleleMismatch","matchThreshold","cutHeight","Psib","score","metaData","LOC1a","LOC1b","LOC2a","LOC2b","LOC3a","LOC3b","LOC4a","LOC4b","LOC5a","LOC5b","LOC6a","LOC6b","LOC7a","LOC7b","LOC8a","LOC8b","LOC9a","LOC9b","LOC10a","LOC10b"
"53","CHECK_UNIQUE","161","161","4","6","0.7","0.3","0.000467578627949761","","ACA","115","115","-99","-99","307","312","409","416","504","518","-99","-99","708","718","801","811","908","908","1001","1008"
"53","MATCH","161","164","4","6","0.7","0.3","0.000467578627949761","0.9","ACA","115","115","206","219","307","312","409","416","504","518","608","617","708","718","801","811","908","908","1001","1008"
"53","MULTIPLE_MATCH","161","162","4","6","0.7","0.3","0.00147425228858197","0.85","ACA","115","115","206","219","307","312","409","416","-99","-99","608","617","708","718","801","811","908","908","1001","1008"
"53","MATCH","161","163","4","6","0.7","0.3","0.00118137140574801","0.85","ACA","-99","-99","206","219","307","312","409","416","504","518","608","608","708","718","801","811","908","908","1001","1008"
"54","UNIQUE","165","165","1","6","0.7","0.3","0.000277234485942159","","ACB","107","117","202","212","302","310","-99","-99","504","519","-99","-99","703","709","812","817","903","904","-99","-99"
"55","UNIQUE","166","166","7","6","0.7","0.3","4.83792224761836e-05","","ACC","111","120","206","219","311","312","409","416","508","508","602","606","708","718","807","807","908","908","1001","1020"
"55","MATCH","166","167","7","6","0.7","0.3","","0.95","ACC","111","111","206","219","311","312","409","416","508","508","602","606","708","718","807","807","908","908","1001","1020"
"55","MATCH","166","168","7","6","0.7","0.3","0.00015328472849354","0.95","ACC","111","120","206","219","311","312","409","416","-99","-99","602","606","708","718","807","807","908","908","1001","1020"
"55","MATCH","166","170","7","6","0.7","0.3","","0.95","ACC","111","120","206","219","311","312","409","416","508","508","602","602","708","718","807","807","908","908","1001","1020"
"55","MATCH","166","169","7","6","0.7","0.3","0.000417419273346809","0.9","ACC","111","120","206","219","311","312","-99","-99","508","508","-99","-99","708","718","807","807","908","908","1001","1020"
"55","MATCH","166","171","7","6","0.7","0.3","","0.9","ACC","111","120","206","219","311","312","409","416","508","508","602","602","708","718","807","807","908","908","-99","-99"
"55","MATCH","166","172","7","6","0.7","0.3","0.000287787532343978","0.9","ACC","111","120","206","219","311","312","409","416","508","508","602","606","-99","-99","-99","-99","908","908","1001","1020"
"56","UNIQUE","173","173","5","6","0.7","0.3","0.000126143688461432","","ACD","115","120","205","219","-99","-99","416","416","514","514","608","610","703","718","807","812","901","920","1001","1013"
"56","MATCH","173","177","5","6","0.7","0.3","0.000126143688461432","0.95","ACD","115","120","205","219","302","311","416","416","514","514","608","610","703","718","807","812","901","920","1001","1013"
"56","MATCH","173","176","5","6","0.7","0.3","","0.9","ACD","115","120","205","219","302","311","416","416","514","514","608","610","703","703","807","812","901","920","1001","1013"
"56","MATCH","173","174","5","6","0.7","0.3","0.000962129697817732","0.85","ACD","115","120","-99","-99","302","311","416","416","514","514","608","610","703","718","807","812","-99","-99","1001","1013"
"56","MATCH","173","175","5","6","0.7","0.3","","0.8","ACD","115","115","205","219","302","311","-99","-99","514","514","608","608","703","718","807","812","901","920","1001","1013"
"57","UNIQUE","178","178","3","6","0.7","0.3","0.000106394051935884","","ACE","115","117","202","206","-99","-99","409","411","501","501","606","608","703","718","807","817","903","904","1004","1004"
"57","MATCH","178","180","3","6","0.7","0.3","0.000340495355323002","0.9","ACE","115","117","202","206","302","311","409","411","-99","-99","606","608","703","718","807","817","903","904","1004","1004"
"57","MATCH","178","179","3","6","0.7","0.3","","0.8","ACE","115","117","202","202","302","311","409","411","501","514","606","608","703","703","807","817","903","904","1004","1004"
"58","CHECK_UNIQUE","181","181","2","6","0.7","0.3","0.00113652355874804","","ACF","-99","-99","202","202","302","313","409","411","-99","-99","604","606","708","718","-99","-99","908","912","1008","1020"
"58","MULTIPLE_MATCH","181","183","2","6","0.7","0.3","","0.7","ACF","115","116","202","205","302","313","409","411","504","514","-99","-99","-99","-99","807","813","908","912","1008","1020"
"59","CHECK_UNIQUE","182","182","2","6","0.7","0.3","0.00107381780806417","","ACF","115","116","202","205","302","313","409","411","504","514","-99","-99","-99","-99","807","813","908","912","-99","-99"
"59","MULTIPLE_MATCH","182","183","2","6","0.7","0.3","0.00107381780806417","0.95","ACF","115","116","202","205","302","313","409","411","504","514","-99","-99","-99","-99","807","813","908","912","1008","1020"
"60","UNIQUE","184","184","2","6","0.7","0.3","7.83412142909035e-05","","ACG","107","120","205","212","312","313","-99","-99","501","501","608","617","706","708","811","819","908","908","1008","1016"
"60","MATCH","184","185","2","6","0.7","0.3","0.000245998879020476","0.9","ACG","107","120","-99","-99","312","313","416","416","501","501","608","617","706","708","811","819","908","908","1008","1016"
"61","UNIQUE","186","186","3","6","0.7","0.3","0.00156578565994044","","ACH","107","116","219","219","-99","-99","411","416","504","518","-99","-99","708","712","807","817","908","910","-99","-99"
"61","MATCH","186","188","3","6","0.7","0.3","0.00156578565994044","0.85","ACH","107","116","219","219","306","310","411","416","504","518","608","608","708","712","807","817","908","910","1008","1008"
"61","MATCH","186","187","3","6","0.7","0.3","","0.75","ACH","107","116","219","219","306","310","411","416","504","504","608","608","708","712","807","817","-99","-99","1008","1008"
"62","UNIQUE","189","189","1","6","0.7","0.3","5.32566808054638e-05","","ACI","103","117","202","205","302","310","404","411","501","514","604","606","703","708","807","819","908","908","1001","1020"
"63","UNIQUE","190","190","4","6","0.7","0.3","0.000140006904219495","","ACJ","115","115","205","219","314","317","411","411","514","514","606","608","703","708","813","817","908","910","1001","1008"
"63","MATCH","190","193","4","6","0.7","0.3","","0.95","ACJ","115","115","205","219","314","317","411","416","514","514","606","608","703","708","813","817","908","910","1001","1008"
"63","MATCH","190","191","4","6","0.7","0.3","","0.9","ACJ","115","115","205","219","314","317","411","416","514","514","606","608","703","708","813","813","908","910","1001","1008"
"63","MATCH","190","192","4","6","0.7","0.3","","0.9","ACJ","115","115","205","219","314","317","411","416","514","514","606","608","703","708","-99","-99","908","910","1001","1008"
"64","UNIQUE","194","194","3","6","0.7","0.3","0.000405165377731728","","ACK","107","116","205","219","313","316","409","416","514","514","-99","-99","708","712","811","819","904","908","-99","-99"
"64","MATCH","194","196","3","6","0.7","0.3","0.000405165377731728","0.9","ACK","107","116","205","219","313","316","409","416","514","514","608","611","708","712","811","819","904","908","1008","1008"
"64","MATCH","194","195","3","6","0.7","0.3","","0.8","ACK","107","116","205","219","313","313","-99","-99","514","514","608","611","708","712","811","819","904","908","1008","1008"
"65","UNIQUE","197","197","4","6","0.7","0.3","8.59271189980426e-05","","ACL","115","117","202","205","306","316","405","416","504","514","606","608","718","718","817","819","908","908","1001","1001"
"65","MATCH","197","199","4","6","0.7","0.3","","0.9","ACL","115","117","202","205","306","316","405","416","504","514","606","608","718","718","817","817","908","908","1001","1020"
"65","MATCH","197","198","4","6","0.7","0.3","","0.85","ACL","115","117","202","205","306","316","405","416","504","514","606","608","718","718","-99","-99","-99","-99","1001","1020"
"65","MATCH","197","200","4","6","0.7","0.3","","0.85","ACL","115","117","202","205","306","316","405","416","504","504","606","608","718","718","-99","-99","908","908","1001","1020"
"66","UNIQUE","201","201","3","6","0.7","0.3","0.000152940286357906","","ACM","115","116","202","205","302","317","411","411","514","514","604","604","708","708","817","819","908","908","1008","1008"
"66","MATCH","201","203","3","6","0.7","0.3","0.000629196178978345","0.9","ACM","115","116","202","205","302","317","-99","-99","-99","-99","604","604","708","708","817","819","908","908","1008","1008"
"66","MATCH","201","202","3","6","0.7","0.3","0.00251655747018245","0.85","ACM","115","116","202","205","-99","-99","411","411","514","514","604","604","-99","-99","817","819","908","908","-99","-99"
"67","UNIQUE","204","204","4","6","0.7","0.3","0.000159747393447631","","ACN","103","115","205","219","306","307","405","411","511","514","608","608","712","712","811","817","908","912","-99","-99"
"67","MATCH","204","205","4","6","0.7","0.3","","0.8","ACN","-99","-99","-99","-99","306","307","405","411","511","514","608","608","712","718","811","817","908","912","1001","1002"
"67","MATCH","204","207","4","6","0.7","0.3","","0.8","ACN","103","103","-99","-99","306","307","405","411","511","514","608","608","712","718","811","817","908","908","-99","-99"
"67","MATCH","204","206","4","6","0.7","0.3","","0.75","ACN","103","115","205","205","-99","-99","405","411","-99","-99","608","608","712","718","811","817","908","912","1001","1002"
"68","UNIQUE","209","209","4","6","0.7","0.3","0.000324041156654641","","ACO","117","117","-99","-99","311","313","405","416","504","508","606","608","718","718","-99","-99","908","912","1008","1016"
"68","MATCH","209","211","4","6","0.7","0.3","0.000324041156654641","0.9","ACO","117","117","205","206","311","313","405","416","504","508","606","608","718","718","807","809","908","912","1008","1016"
"68","MATCH","209","212","4","6","0.7","0.3","0.000324041156654641","0.9","ACO","117","117","205","206","311","313","405","416","504","508","606","608","718","718","807","809","908","912","1008","1016"
"68","MATCH","209","210","4","6","0.7","0.3","","0.8","ACO","-99","-99","205","206","311","313","405","416","504","504","606","608","718","718","807","809","908","912","1008","1016"
"69","CHECK_UNIQUE","213","213","6","6","0.7","0.3","8.06533390893515e-05","","ACP","116","117","206","219","316","317","408","411","514","514","604","620","703","708","807","807","908","908","1001","1004"
"69","MATCH","213","214","6","6","0.7","0.3","8.06533390893515e-05","1","ACP","116","117","206","219","316","317","408","411","514","514","604","620","703","708","807","807","908","908","1001","1004"
"69","MATCH","213","216","6","6","0.7","0.3","8.06533390893515e-05","1","ACP","116","117","206","219","316","317","408","411","514","514","604","620","703","708","807","807","908","908","1001","1004"
"69","MATCH","213","217","6","6","0.7","0.3","8.06533390893515e-05","1","ACP","116","117","206","219","316","317","408","411","514","514","604","620","703","708","807","807","908","908","1001","1004"
"69","MATCH","213","215","6","6","0.7","0.3","","0.9","ACP","116","117","206","219","316","317","408","411","514","514","604","620","-99","-99","807","807","908","908","1001","1001"
"69","MULTIPLE_MATCH","213","218","6","6","0.7","0.3","0.00197599785834997","0.85","ACP","116","117","206","219","-99","-99","408","411","514","514","-99","-99","-99","-99","807","807","908","908","1001","1004"
"70","UNIQUE","219","219","4","6","0.7","0.3","3.86127904384021e-05","","ACQ","107","115","206","219","307","311","411","411","511","511","617","620","703","703","807","813","908","912","1008","1009"
"70","MATCH","219","220","4","6","0.7","0.3","0.000118266484822885","0.95","ACQ","107","115","206","219","-99","-99","411","411","511","511","617","620","703","703","807","813","908","912","1008","1009"
"70","MATCH","219","221","4","6","0.7","0.3","","0.9","ACQ","107","115","206","219","307","311","411","411","511","511","617","620","703","712","807","813","-99","-99","1008","1009"
"70","MATCH","219","222","4","6","0.7","0.3","","0.85","ACQ","107","115","206","219","307","311","411","411","511","511","-99","-99","-99","-99","807","813","908","912","1008","1008"
"71","CHECK_UNIQUE","223","223","3","6","0.7","0.3","0.000507833133711395","","ACR","112","116","206","219","302","316","409","411","-99","-99","608","617","-99","-99","801","811","908","908","1001","1008"
"71","MATCH","223","224","3","6","0.7","0.3","","0.75","ACR","112","116","206","219","-99","-99","409","411","508","508","608","617","718","718","-99","-99","908","920","1001","1008"
"71","MULTIPLE_MATCH","223","162","3","6","0.7","0.3","","0.7","ACA","115","115","206","219","307","312","409","416","-99","-99","608","617","708","718","801","811","908","908","1001","1008"
"72","UNIQUE","225","225","4","6","0.7","0.3","0.00262548019884138","","ACS","103","117","205","219","312","317","-99","-99","-99","-99","608","608","708","718","-99","-99","910","920","-99","-99"
"72","MATCH","225","226","4","6","0.7","0.3","0.00262548019884138","0.9","ACS","103","117","205","219","312","317","405","411","-99","-99","608","608","708","718","-99","-99","910","920","1001","1004"
"72","MATCH","225","228","4","6","0.7","0.3","0.00262548019884138","0.8","ACS","103","117","205","219","312","317","405","411","504","510","608","608","708","718","807","807","910","920","1001","1004"
"72","MATCH","225","227","4","6","0.7","0.3","","0.7","ACS","-99","-99","205","205","312","317","405","411","504","510","608","608","708","718","807","807","910","920","1001","1004"
"73","UNIQUE","229","229","3","6","0.7","0.3","0.000198689371424832","","ACT","115","115","205","219","-99","-99","408","416","501","519","604","606","708","708","807","812","908","920","1008","1008"
"73","MATCH","229","230","3","6","0.7","0.3","0.000198689371424832","0.95","ACT","115","115","205","219","311","313","408","416","501","519","604","606","708","708","807","812","908","920","1008","1008"
"73","MATCH","229","231","3","6","0.7","0.3","0.000433750275678402","0.9","ACT","115","115","-99","-99","311","313","408","416","501","519","604","606","708","708","807","812","908","920","1008","1008"
"74","UNIQUE","232","232","3","6","0.7","0.3","0.000261021869132552","","ACU","115","115","205","219","306","316","411","411","504","514","604","604","703","718","811","817","-99","-99","1008","1020"
"74","MATCH","232","233","3","6","0.7","0.3","0.000261021869132552","0.95","ACU","115","115","205","219","306","316","411","411","504","514","604","604","703","718","811","817","904","908","1008","1020"
"74","MATCH","232","234","3","6","0.7","0.3","0.000720988529114114","0.9","ACU","115","115","205","219","306","316","411","411","504","514","604","604","703","718","-99","-99","904","908","1008","1020"
"75","UNIQUE","235","235","3","6","0.7","0.3","7.81708997542232e-05","","ACV","107","107","205","219","317","317","411","411","508","514","602","604","703","718","813","817","908","908","1001","1009"
"75","MATCH","235","236","3","6","0.7","0.3","7.81708997542232e-05","1","ACV","107","107","205","219","317","317","411","411","508","514","602","604","703","718","813","817","908","908","1001","1009"
"75","MATCH","235","237","3","6","0.7","0.3","","0.9","ACV","107","107","205","205","317","317","-99","-99","508","514","602","604","703","718","813","817","908","908","1001","1009"
"76","UNIQUE","238","238","3","6","0.7","0.3","8.57223893975359e-05","","ACW","103","115","206","206","302","312","405","411","510","511","606","610","703","718","801","807","904","908","-99","-99"
"76","MATCH","238","239","3","6","0.7","0.3","8.57223893975359e-05","0.95","ACW","103","115","206","206","302","312","405","411","510","511","606","610","703","718","801","807","904","908","1008","1008"
"76","MATCH","238","240","3","6","0.7","0.3","0.00021473708132829","0.9","ACW","103","115","206","206","302","312","-99","-99","510","511","606","610","703","718","801","807","904","908","1008","1008"
"77","UNIQUE","241","241","3","6","0.7","0.3","0.00012307172935968","","ACX","103","107","206","219","313","313","411","416","504","514","604","617","708","708","812","813","-99","-99","1004","1016"
"77","MATCH","241","242","3","6","0.7","0.3","0.000291653303891706","0.9","ACX","103","107","206","219","313","313","411","416","-99","-99","604","617","708","708","812","813","904","908","1004","1016"
"77","MATCH","241","243","3","6","0.7","0.3","","0.75","ACX","103","103","206","206","313","313","411","411","504","514","-99","-99","708","708","812","813","904","908","1004","1016"
"78","UNIQUE","244","244","2","6","0.7","0.3","5.94178682647653e-05","","ACY","103","103","205","206","307","316","411","411","508","511","608","617","712","718","801","817","903","908","1001","1008"
"78","MATCH","244","245","2","6","0.7","0.3","","0.95","ACY","103","115","205","206","307","316","411","411","508","511","608","617","712","718","801","817","903","908","1001","1008"
"79","UNIQUE","246","246","4","6","0.7","0.3","3.37884240300846e-05","","ACZ","103","112","205","206","307","311","404","409","514","519","601","610","708","709","817","817","908","912","1008","1008"
"79","MATCH","246","248","4","6","0.7","0.3","3.37884240300846e-05","1","ACZ","103","112","205","206","307","311","404","409","514","519","601","610","708","709","817","817","908","912","1008","1008"
"79","MATCH","246","249","4","6","0.7","0.3","3.37884240300846e-05","1","ACZ","103","112","205","206","307","311","404","409","514","519","601","610","708","709","817","817","908","912","1008","1008"
"79","MATCH","246","247","4","6","0.7","0.3","0.000778625910801759","0.85","ACZ","103","112","205","206","307","311","404","409","-99","-99","-99","-99","708","709","817","817","-99","-99","1008","1008"
"80","UNIQUE","252","252","4","6","0.7","0.3","0.000103001279806612","","ADB","107","120","202","219","306","312","-99","-99","504","504","606","617","703","708","813","817","908","919","1001","1001"
"80","MATCH","252","254","4","6","0.7","0.3","0.000103001279806612","0.95","ADB","107","120","202","219","306","312","405","416","504","504","606","617","703","708","813","817","908","919","1001","1001"
"80","MATCH","252","255","4","6","0.7","0.3","0.000300160271270885","0.95","ADB","107","120","202","219","306","312","-99","-99","504","504","-99","-99","703","708","813","817","908","919","1001","1001"
"80","MATCH","252","253","4","6","0.7","0.3","0.000284507736732696","0.9","ADB","107","120","202","219","306","312","405","416","504","504","606","617","703","708","-99","-99","908","919","1001","1001"
"81","UNIQUE","256","256","1","6","0.7","0.3","3.93977452386176e-05","","ADC","115","116","205","206","311","316","408","416","514","519","606","610","703","708","813","817","908","920","1004","1004"
"82","UNIQUE","257","257","2","6","0.7","0.3","3.65241724731399e-05","","ADD","107","120","202","219","311","313","411","416","504","514","602","602","703","703","812","813","908","920","1001","1004"
"82","MATCH","257","258","2","6","0.7","0.3","","0.9","ADD","-99","-99","202","219","311","313","411","416","504","514","602","606","703","703","812","813","908","920","1001","1004"
"83","UNIQUE","259","259","1","6","0.7","0.3","0.000121999286289649","","ADE","107","107","206","219","-99","-99","411","416","501","502","606","608","706","718","811","811","904","908","1008","1013"
"84","CHECK_UNIQUE","260","260","6","6","0.7","0.3","0.0001463411646915","","ADF","111","116","206","219","312","317","-99","-99","508","514","604","608","718","718","807","817","904","908","1002","1016"
"84","MATCH","260","262","6","6","0.7","0.3","0.0001463411646915","0.95","ADF","111","116","206","219","312","317","409","409","508","514","604","608","718","718","807","817","904","908","1002","1016"
"84","MATCH","260","263","6","6","0.7","0.3","0.0001463411646915","0.95","ADF","111","116","206","219","312","317","409","409","508","514","604","608","718","718","807","817","904","908","1002","1016"
"84","MATCH","260","264","6","6","0.7","0.3","0.0001463411646915","0.95","ADF","111","116","206","219","312","317","409","409","508","514","604","608","718","718","807","817","904","908","1002","1016"
"84","MATCH","260","261","6","6","0.7","0.3","0.0027990638679294","0.8","ADF","111","116","206","219","-99","-99","409","409","-99","-99","604","608","718","718","807","817","-99","-99","1002","1016"
"84","MULTIPLE_MATCH","260","112","6","6","0.7","0.3","","0.7","ABL","103","116","219","219","-99","-99","-99","-99","508","514","604","608","708","718","807","817","908","908","-99","-99"
"85","UNIQUE","265","265","4","6","0.7","0.3","0.000317038568094279","","ADG","116","116","205","212","316","317","408","411","514","514","604","611","708","708","-99","-99","-99","-99","1004","1008"
"85","MATCH","265","266","4","6","0.7","0.3","0.000317038568094279","0.9","ADG","116","116","205","212","316","317","408","411","514","514","604","611","708","708","813","817","908","908","1004","1008"
"85","MATCH","265","268","4","6","0.7","0.3","0.000317038568094279","0.9","ADG","116","116","205","212","316","317","408","411","514","514","604","611","708","708","813","817","908","908","1004","1008"
"85","MATCH","265","267","4","6","0.7","0.3","0.00068609043040087","0.85","ADG","116","116","205","212","316","317","408","411","-99","-99","604","611","708","708","813","817","908","908","1004","1008"
"86","UNIQUE","269","269","4","6","0.7","0.3","0.000218649283130841","","ADH","103","115","205","219","307","312","405","416","501","514","606","606","703","703","-99","-99","908","908","1008","1016"
"86","MATCH","269","270","4","6","0.7","0.3","","0.9","ADH","103","115","205","219","307","312","405","416","501","514","606","608","703","703","812","819","908","908","1008","1016"
"86","MATCH","269","271","4","6","0.7","0.3","","0.85","ADH","103","115","205","219","307","312","405","416","501","514","606","608","-99","-99","812","819","908","908","1008","1016"
"86","MATCH","269","272","4","6","0.7","0.3","","0.85","ADH","103","115","205","219","307","312","-99","-99","501","514","606","608","703","703","812","812","908","908","1008","1016"
"87","UNIQUE","273","273","3","6","0.7","0.3","0.00128757207506198","","ADI","115","120","219","219","-99","-99","409","411","-99","-99","608","620","708","718","-99","-99","904","904","1001","1001"
"87","MATCH","273","275","3","6","0.7","0.3","","0.8","ADI","115","120","219","219","306","316","409","411","509","519","608","620","708","718","812","817","904","908","1001","1001"
"87","MATCH","273","274","3","6","0.7","0.3","","0.75","ADI","-99","-99","-99","-99","306","316","409","411","509","509","608","620","708","718","-99","-99","904","908","1001","1001"
"88","UNIQUE","276","276","2","6","0.7","0.3","0.000199714840707415","","ADJ","103","111","219","219","307","307","411","411","508","514","604","606","-99","-99","813","819","908","908","1016","1020"
"88","MATCH","276","277","2","6","0.7","0.3","0.00207667568829299","0.85","ADJ","103","111","219","219","-99","-99","411","411","508","514","604","606","703","718","813","819","908","908","-99","-99"
"89","UNIQUE","278","278","2","6","0.7","0.3","7.76312635182387e-05","","ADK","115","116","205","219","312","316","409","411","504","504","604","608","703","708","811","817","908","910","1008","1016"
"89","MATCH","278","279","2","6","0.7","0.3","0.00019377389634946","0.95","ADK","115","116","205","219","312","316","409","411","504","504","-99","-99","703","708","811","817","908","910","1008","1016"
"90","UNIQUE","280","280","3","6","0.7","0.3","0.000113950181143843","","ADL","115","116","206","219","302","307","405","408","-99","-99","606","608","712","718","807","817","908","920","1002","1002"
"90","MATCH","280","281","3","6","0.7","0.3","0.000113950181143843","0.95","ADL","115","116","206","219","302","307","405","408","514","514","606","608","712","718","807","817","908","920","1002","1002"
"90","MATCH","280","282","3","6","0.7","0.3","","0.85","ADL","115","116","-99","-99","302","302","405","408","514","514","606","608","712","718","807","817","908","920","1002","1002"
"91","UNIQUE","283","283","6","6","0.7","0.3","4.35417015066053e-05","","ADM","111","116","205","205","302","316","408","416","519","519","606","606","708","708","817","817","908","908","1004","1020"
"91","MATCH","283","286","6","6","0.7","0.3","4.35417015066053e-05","1","ADM","111","116","205","205","302","316","408","416","519","519","606","606","708","708","817","817","908","908","1004","1020"
"91","MATCH","283","287","6","6","0.7","0.3","4.35417015066053e-05","1","ADM","111","116","205","205","302","316","408","416","519","519","606","606","708","708","817","817","908","908","1004","1020"
"91","MATCH","283","284","6","6","0.7","0.3","0.000100686281415725","0.95","ADM","111","116","205","205","302","316","408","416","519","519","606","606","708","708","-99","-99","908","908","1004","1020"
"91","MATCH","283","288","6","6","0.7","0.3","0.000235710214092738","0.9","ADM","111","116","205","205","-99","-99","408","416","519","519","606","606","708","708","817","817","-99","-99","1004","1020"
"91","MATCH","283","285","6","6","0.7","0.3","","0.85","ADM","111","111","205","205","302","316","-99","-99","519","519","606","606","708","708","817","817","908","908","1004","1004"
"92","UNIQUE","289","289","3","6","0.7","0.3","0.000347499435133622","","ADN","103","115","205","219","-99","-99","416","416","504","518","606","608","703","708","812","817","908","908","1001","1008"
"92","MATCH","289","290","3","6","0.7","0.3","0.000347499435133622","0.95","ADN","103","115","205","219","310","313","416","416","504","518","606","608","703","708","812","817","908","908","1001","1008"
"92","MATCH","289","291","3","6","0.7","0.3","0.000600436537246453","0.9","ADN","103","115","205","219","310","313","416","416","504","518","606","608","703","708","812","817","-99","-99","1001","1008"
"93","UNIQUE","292","292","5","6","0.7","0.3","0.000121985335607767","","ADO","-99","-99","205","219","311","311","411","411","501","508","604","611","703","706","813","817","904","904","1001","1008"
"93","MATCH","292","294","5","6","0.7","0.3","","0.9","ADO","107","115","205","219","311","311","411","411","501","508","604","611","703","706","813","817","904","908","1001","1008"
"93","MATCH","292","295","5","6","0.7","0.3","","0.85","ADO","-99","-99","-99","-99","311","317","411","411","501","508","604","604","703","706","813","817","904","904","1001","1008"
"93","MATCH","292","293","5","6","0.7","0.3","","0.8","ADO","107","115","205","219","311","317","411","411","501","508","604","611","703","706","813","817","-99","-99","-99","-99"
"93","MATCH","292","296","5","6","0.7","0.3","","0.75","ADO","107","115","205","219","311","317","-99","-99","501","508","604","611","-99","-99","813","817","904","908","1001","1008"
"94","UNIQUE","297","297","5","6","0.7","0.3","0.00032794137240953","","ADP","-99","-99","219","219","307","311","405","411","-99","-99","601","606","703","708","809","817","912","912","1004","1008"
"94","MATCH","297","300","5","6","0.7","0.3","0.00032794137240953","0.95","ADP","-99","-99","219","219","307","311","405","411","501","502","601","606","703","708","809","817","912","912","1004","1008"
"94","MATCH","297","299","5","6","0.7","0.3","0.00032794137240953","0.9","ADP","115","116","219","219","307","311","405","411","501","502","601","606","703","708","809","817","912","912","1004","1008"
"94","MATCH","297","301","5","6","0.7","0.3","0.00110126037709045","0.85","ADP","115","116","219","219","307","311","405","411","501","502","601","606","703","708","809","817","-99","-99","1004","1008"
"94","MATCH","297","298","5","6","0.7","0.3","","0.8","ADP","-99","-99","219","219","307","307","405","411","501","502","601","601","703","708","-99","-99","912","912","1004","1008"
"95","UNIQUE","302","302","5","6","0.7","0.3","7.76979179207954e-05","","ADQ","103","103","206","219","306","316","411","416","514","518","604","617","703","712","807","807","908","908","1008","1013"
"95","MATCH","302","303","5","6","0.7","0.3","0.000207845191832213","0.95","ADQ","103","103","206","219","306","316","411","416","514","518","604","617","703","712","-99","-99","908","908","1008","1013"
"95","MATCH","302","304","5","6","0.7","0.3","","0.95","ADQ","103","103","206","219","306","316","411","416","514","518","604","617","703","712","807","817","908","908","1008","1013"
"95","MATCH","302","306","5","6","0.7","0.3","","0.9","ADQ","103","103","-99","-99","306","316","411","416","514","518","604","617","703","712","807","817","908","908","1008","1013"
"95","MATCH","302","305","5","6","0.7","0.3","","0.85","ADQ","103","103","206","206","306","316","-99","-99","514","518","604","617","703","712","807","817","908","908","1008","1013"
"96","UNIQUE","307","307","2","6","0.7","0.3","8.65821752124017e-05","","ADR","103","115","205","206","302","316","411","411","514","519","608","608","703","718","807","817","908","920","1013","1016"
"96","MATCH","307","308","2","6","0.7","0.3","0.000656586341604657","0.9","ADR","103","115","205","206","-99","-99","411","411","514","519","608","608","-99","-99","807","817","908","920","1013","1016"
"97","UNIQUE","309","309","3","6","0.7","0.3","0.000137421469920476","","ADS","103","115","-99","-99","306","306","405","416","501","509","604","608","703","708","817","819","908","920","1001","1008"
"97","MATCH","309","310","3","6","0.7","0.3","","0.85","ADS","103","115","219","219","306","310","405","416","501","509","604","608","-99","-99","817","819","908","920","1001","1008"
"97","MATCH","309","311","3","6","0.7","0.3","","0.8","ADS","103","115","219","219","306","310","405","416","501","509","604","608","703","708","817","819","908","908","-99","-99"
"98","UNIQUE","312","312","2","6","0.7","0.3","0.000223444994853316","","ADT","115","117","205","219","302","312","-99","-99","508","519","602","604","718","718","807","807","-99","-99","1016","1016"
"98","MATCH","312","313","2","6","0.7","0.3","0.000223444994853316","0.9","ADT","115","117","205","219","302","312","405","411","508","519","602","604","718","718","807","807","912","920","1016","1016"
"99","UNIQUE","314","314","5","6","0.7","0.3","4.7766758600267e-05","","ADU","103","116","206","212","307","310","411","411","501","508","604","611","712","718","801","819","908","908","1001","1008"
"99","MATCH","314","316","5","6","0.7","0.3","4.7766758600267e-05","1","ADU","103","116","206","212","307","310","411","411","501","508","604","611","712","718","801","819","908","908","1001","1008"
"99","MATCH","314","318","5","6","0.7","0.3","0.000154385594153918","0.95","ADU","103","116","206","212","307","310","411","411","501","508","-99","-99","712","718","801","819","908","908","1001","1008"
"99","MATCH","314","317","5","6","0.7","0.3","0.000456068569499106","0.9","ADU","-99","-99","206","212","-99","-99","411","411","501","508","604","611","712","718","801","819","908","908","1001","1008"
"99","MATCH","314","315","5","6","0.7","0.3","","0.85","ADU","103","116","206","212","307","310","411","411","501","501","604","611","-99","-99","801","819","908","908","-99","-99"
"100","UNIQUE","319","319","1","6","0.7","0.3","0.00011623991473799","","ADV","107","117","-99","-99","311","313","411","411","501","508","608","608","706","718","809","813","908","914","1001","1008"
